student_id,course_id,term,grade,attempt
S00172,CSE2102,2026SP,,1
S00069,CSE2102,2026SP,,1
S00175,CSE2102,2026SP,,1
S00166,CSE2102,2026SP,,1
S00019,CSE2102,2026SP,,1
S00156,CSE2102,2026SP,,1
S00163,CSE2102,2026SP,,1
S00044,CSE2102,2026SP,,1
S00137,CSE2102,2026SP,,1
S00063,CSE2102,2026SP,,1
S00042,CSE2102,2026SP,,1
S00119,CSE2102,2026SP,,1
S00098,CSE2102,2026SP,,1
S00070,CSE2102,2026SP,,1
S00143,CSE2102,2026SP,,1
S00057,CSE2102,2026SP,,1
S00084,CSE2102,2026SP,,1
S00015,CSE2102,2026SP,,1
S00059,CSE2102,2026SP,,1
S00009,CSE2102,2026SP,,1
S00081,CSE2102,2026SP,,1
S00103,CSE2102,2026SP,,1
S00176,CSE2102,2026SP,,1
S00017,CSE2102,2026SP,,1
S00055,CSE2102,2026SP,,1
S00146,CSE2102,2026SP,,1
S00157,CSE2102,2026SP,,1
S00036,CSE2500,2026SP,,1
S00064,CSE2500,2026SP,,1
S00144,CSE2500,2026SP,,1
S00138,CSE2500,2026SP,,1
S00068,CSE2500,2026SP,,1
S00150,CSE2500,2026SP,,1
S00110,CSE2500,2026SP,,1
S00175,CSE2500,2026SP,,1
S00103,CSE2500,2026SP,,1
S00093,CSE2500,2026SP,,1
S00057,CSE2500,2026SP,,1
S00180,CSE2500,2026SP,,1
S00131,CSE2500,2026SP,,1
S00127,CSE2500,2026SP,,1
S00024,CSE2500,2026SP,,1
S00013,CSE2500,2026SP,,1
S00029,CSE2500,2026SP,,1
S00040,CSE2500,2026SP,,1
S00161,CSE2500,2026SP,,1
S00041,CSE2500,2026SP,,1
S00109,CSE2500,2026SP,,1
S00153,CSE2500,2026SP,,1
S00017,CSE2500,2026SP,,1
S00099,CSE2500,2026SP,,1
S00098,CSE2500,2026SP,,1
S00159,CSE2500,2026SP,,1
S00120,CSE2500,2026SP,,1
S00136,CSE2500,2026SP,,1
S00065,CSE2600,2026SP,,1
S00142,CSE2600,2026SP,,1
S00003,CSE2600,2026SP,,1
S00175,CSE2600,2026SP,,1
S00030,CSE2600,2026SP,,1
S00177,CSE2600,2026SP,,1
S00138,CSE2600,2026SP,,1
S00069,CSE2600,2026SP,,1
S00165,CSE2600,2026SP,,1
S00088,CSE2600,2026SP,,1
S00029,CSE2600,2026SP,,1
S00076,CSE2600,2026SP,,1
S00112,CSE2600,2026SP,,1
S00041,CSE2600,2026SP,,1
S00117,CSE2600,2026SP,,1
S00001,CSE2600,2026SP,,1
S00068,CSE2600,2026SP,,1
S00129,CSE2600,2026SP,,1
S00046,CSE2600,2026SP,,1
S00130,CSE2600,2026SP,,1
S00028,CSE2600,2026SP,,1
S00077,CSE2600,2026SP,,1
S00161,CSE2600,2026SP,,1
S00156,CSE2600,2026SP,,1
S00051,CSE2600,2026SP,,1
S00040,CSE2600,2026SP,,1
S00096,CSE2600,2026SP,,1
S00042,CSE2600,2026SP,,1
S00139,CSE2600,2026SP,,1
S00136,CSE2600,2026SP,,1
S00001,CSE3100,2026SP,,1
S00154,CSE3100,2026SP,,1
S00083,CSE3100,2026SP,,1
S00126,CSE3100,2026SP,,1
S00005,CSE3100,2026SP,,1
S00029,CSE3100,2026SP,,1
S00093,CSE3100,2026SP,,1
S00079,CSE3100,2026SP,,1
S00062,CSE3100,2026SP,,1
S00015,CSE3100,2026SP,,1
S00172,CSE3100,2026SP,,1
S00146,CSE3100,2026SP,,1
S00021,CSE3100,2026SP,,1
S00022,CSE3100,2026SP,,1
S00125,CSE3100,2026SP,,1
S00018,CSE3100,2026SP,,1
S00137,CSE3100,2026SP,,1
S00033,CSE3100,2026SP,,1
S00163,CSE3100,2026SP,,1
S00122,CSE3100,2026SP,,1
S00141,CSE3100,2026SP,,1
S00043,CSE3100,2026SP,,1
S00068,CSE3100,2026SP,,1
S00136,CSE3100,2026SP,,1
S00156,CSE3100,2026SP,,1
S00109,CSE3100,2026SP,,1
S00055,CSE3100,2026SP,,1
S00139,CSE3100,2026SP,,1
S00172,CSE3140,2026SP,,1
S00167,CSE3140,2026SP,,1
S00096,CSE3140,2026SP,,1
S00113,CSE3140,2026SP,,1
S00133,CSE3140,2026SP,,1
S00116,CSE3140,2026SP,,1
S00031,CSE3140,2026SP,,1
S00064,CSE3140,2026SP,,1
S00058,CSE3140,2026SP,,1
S00017,CSE3140,2026SP,,1
S00087,CSE3140,2026SP,,1
S00006,CSE3140,2026SP,,1
S00151,CSE3140,2026SP,,1
S00142,CSE3140,2026SP,,1
S00059,CSE3140,2026SP,,1
S00057,CSE3140,2026SP,,1
S00002,CSE3140,2026SP,,1
S00019,CSE3140,2026SP,,1
S00162,CSE3140,2026SP,,1
S00016,CSE3140,2026SP,,1
S00059,CSE3150,2026SP,,1
S00018,CSE3150,2026SP,,1
S00009,CSE3150,2026SP,,1
S00085,CSE3150,2026SP,,1
S00019,CSE3150,2026SP,,1
S00132,CSE3150,2026SP,,1
S00061,CSE3150,2026SP,,1
S00072,CSE3150,2026SP,,1
S00172,CSE3150,2026SP,,1
S00125,CSE3150,2026SP,,1
S00055,CSE3150,2026SP,,1
S00139,CSE3150,2026SP,,1
S00034,CSE3150,2026SP,,1
S00147,CSE3150,2026SP,,1
S00148,CSE3150,2026SP,,1
S00122,CSE3150,2026SP,,1
S00063,CSE3150,2026SP,,1
S00165,CSE3150,2026SP,,1
S00105,CSE3150,2026SP,,1
S00049,CSE3150,2026SP,,1
S00025,CSE3150,2026SP,,1
S00160,CSE3150,2026SP,,1
S00111,CSE3150,2026SP,,1
S00091,CSE3150,2026SP,,1
S00109,CSE3150,2026SP,,1
S00106,CSE3500,2026SP,,1
S00120,CSE3500,2026SP,,1
S00014,CSE3500,2026SP,,1
S00173,CSE3500,2026SP,,1
S00168,CSE3500,2026SP,,1
S00166,CSE3500,2026SP,,1
S00026,CSE3500,2026SP,,1
S00016,CSE3500,2026SP,,1
S00104,CSE3500,2026SP,,1
S00087,CSE3500,2026SP,,1
S00028,CSE3500,2026SP,,1
S00064,CSE3500,2026SP,,1
S00050,CSE3500,2026SP,,1
S00049,CSE3500,2026SP,,1
S00138,CSE3500,2026SP,,1
S00115,CSE3500,2026SP,,1
S00036,CSE3500,2026SP,,1
S00109,CSE3500,2026SP,,1
S00047,CSE3500,2026SP,,1
S00072,CSE3500,2026SP,,1
S00119,CSE3500,2026SP,,1
S00169,CSE3500,2026SP,,1
S00020,CSE3500,2026SP,,1
S00114,CSE3500,2026SP,,1
S00141,CSE3500,2026SP,,1
S00174,CSE3500,2026SP,,1
S00013,CSE3500,2026SP,,1
S00139,CSE3500,2026SP,,1
S00004,CSE3500,2026SP,,1
S00024,CSE3500,2026SP,,1
S00043,CSE3666,2026SP,,1
S00098,CSE3666,2026SP,,1
S00001,CSE3666,2026SP,,1
S00100,CSE3666,2026SP,,1
S00068,CSE3666,2026SP,,1
S00117,CSE3666,2026SP,,1
S00074,CSE3666,2026SP,,1
S00109,CSE3666,2026SP,,1
S00143,CSE3666,2026SP,,1
S00170,CSE3666,2026SP,,1
S00125,CSE3666,2026SP,,1
S00040,CSE3666,2026SP,,1
S00049,CSE3666,2026SP,,1
S00076,CSE3666,2026SP,,1
S00056,CSE3666,2026SP,,1
S00015,CSE3666,2026SP,,1
S00149,CSE3666,2026SP,,1
S00139,CSE3666,2026SP,,1
S00016,CSE3666,2026SP,,1
S00081,CSE3666,2026SP,,1
S00165,CSE3666,2026SP,,1
S00013,CSE3666,2026SP,,1
S00150,CSE3666,2026SP,,1
S00123,CSE3666,2026SP,,1
S00129,CSE3666,2026SP,,1
S00136,CSE3666,2026SP,,1
S00041,CSE3666,2026SP,,1
CSE2102,S00037,2026SP,,1
CSE3500,S00043,2026SP,,1
CSE3100,S00052,2026SP,,1
CSE3500,S00055,2026SP,,1
CSE3500,S00061,2026SP,,1
CSE2102,S00068,2026SP,,1
CSE3100,S00080,2026SP,,1
CSE2102,S00102,2026SP,,1
CSE3100,S00103,2026SP,,1
CSE3500,S00103,2026SP,,1
CSE3500,S00105,2026SP,,1
CSE2102,S00118,2026SP,,1
CSE3500,S00124,2026SP,,1
CSE3500,S00125,2026SP,,1
CSE2102,S00128,2026SP,,1
CSE2102,S00153,2026SP,,1
CSE3500,S00177,2026SP,,1
